name,point_estimate_t,q2.5_t,q97.5_t,point_estimate_bs,q2.5_bs,q97.5_bs,point_estimate_bayes_u,q5.5_bayes_u,q94.5_bayes_u,point_estimate_bayes_w,q5.5_bayes_w,q94.5_bayes_w,point_estimate_bayes_i,q5.5_bayes_i,q94.5_bayes_i
b_Intercept,-0,-0.25,0.24,-0,-0.25,0.24,0,-0.2,0.22,-0,-0.19,0.19,0,-0.2,0.19
b_poverty_z,0.4,0.15,0.65,0.4,0.14,0.65,0.4,0.2,0.61,0.38,0.18,0.59,0.42,0.22,0.6
b_inequal_z,0.3,0.05,0.55,0.3,-0.02,0.6,0.3,0.09,0.51,0.28,0.08,0.49,0.3,0.11,0.5
b_spending_z,-0.15,-0.4,0.1,-0.15,-0.36,0.07,-0.15,-0.36,0.05,-0.14,-0.34,0.07,-0.16,-0.36,0.02
b_staffing_z,0.05,-0.2,0.3,0.05,-0.3,0.3,0.05,-0.16,0.24,0.05,-0.16,0.24,0.05,-0.15,0.26
